"Submission Num","Car Rental","Gas for Car Rental","Parking and Tolls","Airfare","Ground Transportation"
467.00,$0.00,$0.00,$0.00,$0.00,$0.00
468.00,$0.00,$0.00,$5.00,$0.00,$0.00
469.00,$0.00,$0.00,$20.26,$0.00,$0.00
470.00,$0.00,$0.00,$22.32,$0.00,$0.00
471.00,$0.00,$0.00,$2.15,$0.00,$0.00
472.00,$0.00,$0.00,$0.00,$0.00,$0.00
473.00,$0.00,$0.00,$0.00,$0.00,$0.00
474.00,$329.28,$124.72,$0.00,$758.75,$0.00
475.00,$141.14,$0.00,$0.00,$0.00,$0.00
476.00,$0.00,$0.00,$0.00,$0.00,$0.00
477.00,$0.00,$0.00,$0.00,$0.00,$0.00
478.00,$0.00,$0.00,$0.00,$0.00,$0.00
479.00,$0.00,$0.00,$30.05,$0.00,$0.00
480.00,$0.00,$0.00,$0.00,$0.00,$0.00
481.00,$0.00,$0.00,$1.95,$0.01,$0.00
482.00,$0.00,$0.00,$14.99,$0.00,$0.00
483.00,$0.00,$0.00,$0.00,$0.00,$0.00
484.00,$0.00,$0.00,$3.05,$0.00,$0.00
485.00,$0.00,$0.00,$0.00,$0.00,$0.00
486.00,$0.00,$0.00,$57.00,$0.00,$0.00
487.00,$0.00,$0.00,$0.00,$0.00,$0.00
488.00,$0.00,$0.00,$81.86,$369.97,$88.00
489.00,$0.00,$0.00,$15.00,$0.00,$0.00
490.00,$0.00,$0.00,$15.00,$0.00,$0.00
491.00,$0.00,$0.00,$0.00,$0.00,$0.00
492.00,$0.00,$33.05,$0.00,$0.00,$0.00
493.00,$0.00,$0.00,$35.31,$0.00,$0.00
494.00,$0.00,$0.00,$1.90,$0.00,$0.00
495.00,$0.00,$0.00,$60.00,$0.00,$0.00
496.00,$148.34,$58.68,$0.00,$1163.78,$0.00
497.00,$0.00,$0.00,$0.00,$0.00,$0.00
498.00,$0.00,$0.00,$50.00,$0.00,$0.00
499.00,$0.00,$0.00,$0.00,$0.00,$0.00
500.00,$135.22,$33.00,$37.58,$0.00,$0.00
501.00,$317.34,$42.15,$15.70,$0.00,$0.00
502.00,$0.00,$0.00,$15.10,$0.00,$0.00
503.00,$220.89,$30.98,$26.50,$0.00,$0.00
504.00,$0.00,$0.00,$42.20,$0.00,$0.00
505.00,$0.00,$0.00,$6.00,$0.00,$0.00
506.00,$0.00,$0.00,$46.80,$0.00,$0.00
507.00,$0.00,$0.00,$0.00,$0.00,$0.00
508.00,$0.00,$0.00,$0.00,$0.00,$0.00
509.00,$0.00,$0.00,$0.00,$0.00,$0.00
510.00,$0.00,$0.00,$0.00,$0.00,$0.00
511.00,$0.00,$0.00,$0.00,$0.00,$0.00
512.00,$159.71,$12.68,$77.00,$860.95,$0.00
513.00,$0.00,$0.00,$0.00,$0.00,$0.00
514.00,$0.00,$65.53,$0.00,$0.00,$0.00
515.00,$0.00,$0.00,$0.00,$0.00,$0.00
516.00,$0.00,$0.00,$4.50,$0.00,$0.00
517.00,$0.00,$0.00,$31.97,$0.00,$0.00
518.00,$0.00,$0.00,$0.00,$0.00,$0.00
519.00,$0.00,$0.00,$5.80,$0.00,$0.00
520.00,$0.00,$0.00,$0.00,$0.00,$0.00
521.00,$0.00,$0.00,$0.00,$0.00,$0.00
