InspectionID,PropertyType,PropertyID,PropertyName,PropertyStreetAddress,CityState,PropertyZip
INSP-33763,MFH,800215077,PINE HILLS,595 N. Captain Gloster Dr,"GLOSTER, MS",39638
INSP-32808,MFH,800217978,Stanford Place,2213 Bower Lane,"CLEVELAND, TN",37311
INSP-31128,MFH,800218046,Shasta Manor II,1020 KINGSTON RD,"MOUNT SHASTA, CA",96067
INSP-34449,MFH,800218196,Hale Koho,1316 Dominis Street,"HONOLULU, HI",96822
INSP-34110,MFH,800218392,FAIRVIEW ESTATES,274 Stark St,"Cincinnati, OH",45214
INSP-26515,MFH,800219804,Pacific Housing Development,322 E. Newmark Avenue,"Monterey Park, CA",91755
INSP-33868,MFH,800221293,FOREST HILLS APTS.,2111 Ardmore Blvd,"Forest Hills, PA",15221
INSP-34266,MFH,800221606,BIVINS VILLAGE,3201 Tee Anchor Blvd.,"AMARILLO, TX",79104
INSP-33150,MFH,800222679,CLOVERNOOK HOUSING,7054 CLOVERNOOK AVE,"Cincinnati, OH",45231
INSP-33769,MFH,800222991,PARK PLACE,875 Elrod St SE,"CLEVELAND, TN",37311
INSP-33770,MFH,800223487,Miller Park,52nd Street,"MERIDIAN, MS",39303
INSP-30949,MFH,800223969,MOSAIC HOUSING XVI,4701 Hilltop Court,"Farmington, NM",87402
INSP-34455,MFH,800224877,Hale Oli,91-1030 Fort Weaver Rd,"EWA BEACH, HI",96706
INSP-34175,MFH,800224928,1602 SOUTH STAPLES,1602 S Staples St,"Corpus Christi, TX",78404
INSP-34456,MFH,800224933,Villa Serena,377 Rio Lindo Avenue,"CHICO, CA",95926
INSP-30059,MFH,800226078,Casitas de Villa Corona,339 SW 39th St,"San Antonio, TX",78237
INSP-34056,MFH,800226131,Willows at Melvin,2506 Melvin Ave,"Everett, WA",98203
INSP-32497,MFH,800226284,Colter Commons,3003 W Colter St,"PHOENIX, AZ",85017
INSP-32430,MFH,800231530,ST. CLARE'S,88 MEADE STREET,"NEWARK, NJ",07106
INSP-34057,MFH,800231874,Penrose Place,667 E 6th St,"SHERIDAN, WY",82801
INSP-34177,MFH,800231991,PROJECT VIDA,2135 Wedgewood Dr,"EL PASO, TX",79925
INSP-32182,MFH,800233950,BRADLEY ESTATES II,435 Bradley Avenue,"MERIDEN, CT",06450
INSP-33152,MFH,800235378,EAGLE CREEK APTS.,216 MYRON STREET,"HUBBARD, OH",44424
INSP-33873,MFH,800235623,ALAMEDA GARDENS,164 Alameda Rd,"BUTLER, PA",16001
INSP-33410,MFH,800235730,Middletown Homes,55 Middletown Ave,"MIDDLETOWN, NJ",07716
INSP-33256,MFH,800241205,TWIN LAKES VILLAGE,1200 7th St,"WEST PALM BEACH, FL",33401
INSP-34179,MFH,800241803,Lyndon B. Johnson,9000 Roanoke Dr,"EL PASO, TX",79904
INSP-33778,MFH,800244039,Tallapoosa Housing,304 Arbacoochee Rd,"Tallapoosa, GA",30176
INSP-33779,MFH,800244071,NORTHRIDGE,601 Beeland Street,"GREENVILLE, AL",36037
INSP-33780,MFH,800245110,Edgefield Manor,525 Shelby Ave,"NASHVILLE, TN",37206
INSP-33218,MFH,800246986,AVONDALE,13101 Avondale Farms Dr,"Fort Worth, TX",76052
INSP-32184,MFH,800248659,270 HUNTINGTON AVE,270 Huntington Ave,"BOSTON, MA",02115
INSP-34461,MFH,800249015,Arbor Creek Family,8340 Elk Grove Florin Rd,"Sacramento, CA",95829
INSP-34118,MFH,800250631,HOUGH HERITAGE,1866 E 97th STREET,"CLEVELAND, OH",44106
INSP-34268,MFH,800251917,NewView Place I,214 Garfield Ave,"Kansas City, MO",64124
INSP-32530,PIH,AL001000010,TOM BROWN VILLAGE,4165  5TH Court N,"BIRMINGHAM, AL",35222
INSP-33500,PIH,AL001000033,Park Place III,2200 Park Place,"BIRMINGHAM, AL",35203
INSP-33504,PIH,AL001000040,MASON CITY I,14th Way SW,"BIRMINGHAM, AL",35211
INSP-33508,PIH,AL001000046,TUXEDO TRACE III,150 8th Avenue North,"BIRMINGHAM, AL",35204
INSP-30524,PIH,AL174000001,SPRINGHILL/GUNTER,2110  COUNTY Road,"ALEXANDER CITY, AL",35010
INSP-30526,PIH,CA007000203,Sun River,6260 Mariposa Ave,"CITRUS HEIGHTS, CA",95310
INSP-33521,PIH,CA008000106,LITTLE VILLAGE (6B),714  SMITH Street,"BAKERSFIELD, CA",93307
INSP-31835,PIH,CA019000180,SCATTERED SITES,421 S. 7th Ave.,"BARSTOW, CA",92311
INSP-31837,PIH,CA043000001,BUTTE COUNTY,2039 FOREST AVE,"CHICO, CA",95928
INSP-32552,PIH,DC001001030,JAMES CREEK,1265  HALF Street SW,"WASHINGTON, DC",20024
INSP-31842,PIH,DC001001290,SIBLEY PLAZA -1290,1140 N CAPITOL Street NW,"WASHINGTON, DC",20002
INSP-33531,PIH,DC001001370,GARIFIELD TERRACE,2301  11TH Street NW,"WASHINGTON, DC",20001
INSP-32554,PIH,DC001001440,MONTANA TERRACE,1625 MONTANA Avenue NE,"WASHINGTON, DC",20018
INSP-32559,PIH,DC001002250,LANGSTON TERRACE,2101  G Street NE,"WASHINGTON, DC",20002
INSP-32560,PIH,DC001002400,WADE APARTMENTS,2101 G St NE,"WASHINGTON, DC",20020
INSP-32563,PIH,DC001004210,GREENLEAF GARDENS,"203 N STREET, NW","WASHINGTON, DC",20024
INSP-32564,PIH,DC001004240,SYPHAX GARDENS,1501  HALF Street SW,"WASHINGTON, DC",20024
INSP-33540,PIH,DC001004430,POTOMAC GARDENS,1225 G Street SE,"WASHINGTON, DC",20003
INSP-32566,PIH,DC001005190,KENILWORTH COURTS,4500  QUARLES Street NE,"WASHINGTON, DC",20019
INSP-33542,PIH,DC001005230,CAPITOL GATEWAY,"5765 BLAINE STREET, NE","WASHINGTON, DC",20019
INSP-32569,PIH,DC001005420,Parkside Pollin Memorial,"3601 HAYES STREET, NE","WASHINGTON, DC",20019
INSP-32570,PIH,DC001005450,Sheridan Station Phase III,"2615 POMEROY RD, SE","WASHINGTON, DC",20020
INSP-31865,PIH,GA003000001,PARKVIEW HOMES,300 S. ROCKSPRINGS ST.,"ATHENS, GA",30606
INSP-33552,PIH,GA003000002,BROADACRES HOMES,300 S. Rocksprings Street,"ATHENS, GA",30606
INSP-31866,PIH,GA003000003,PARKVIEW HOMES EXT,300 S. Rocksprings Street,"ATHENS, GA",30606
INSP-32579,PIH,GA003000004,ROCKSPRING HOMES,300 S. ROCKSPRINGS ST.,"ATHENS, GA",30606
INSP-32580,PIH,GA003000005,SCATTERED  SITES,300 S. Rocksprings Street,"ATHENS, GA",30606
INSP-31867,PIH,GA003000006,SCATTERED SITES,300 S. Rocksprings Street,"ATHENS, GA",30606
INSP-33553,PIH,GA003000008,NELLIE B APTS,300 S. Rocksprings Street,"ATHENS, GA",30606
INSP-31897,PIH,IL002172000,4400 Grove,4424.4434  S COTTAGE GROVE ST,"CHICAGO, IL",60653
INSP-33590,PIH,MA002002115,ORCHARD GARDENS PHASE III -HOPE VI,25 Ambrose Street,"ROXBURY, MA",02118
INSP-32629,PIH,MA012000006,MURRAY AVE APT,50  MURRAY Avenue,"WORCESTER, MA",01610
INSP-31914,PIH,MA012000012,BELMONT TOWER APT,11  LAKE Avenue,"WORCESTER, MA",01604
INSP-31939,PIH,MO002000041,The Cleveland,5103 Cleveland,"Kansas City, MO",64130
INSP-31943,PIH,MS004000003,MTN. VIEW VILLAGE,2305  D Street,"MERIDIAN, MS",39301
INSP-33610,PIH,NJ002003001,TOWNHOUSES - ORIENTAL ST.,93  7TH Avenue,"NEWARK, NJ",07104
INSP-31962,PIH,NJ002003003,BelleMead Site,500 Broad Street,"NEWARK, NJ",07102
INSP-31963,PIH,NJ002003004,BETTY SHABAZZ VILLAGE,190 Court St,"NEWARK, NJ",07013
INSP-31964,PIH,NJ002003006,NEWARK H A,724 Hunterdon Street,"NEWARK, NJ",07102
INSP-32660,PIH,NJ002003007,"LA VILLA DR, JOSE ROSARIO",41  WRIGHT Street,"NEWARK, NJ",07114
INSP-31965,PIH,NJ002003009,KRETCHMER HOMES TOWNHOUSE,500 Broad Street,"NEWARK, NJ",07102
INSP-31966,PIH,NJ002003012,TOWNHOUSES,500 Broad Street,"NEWARK, NJ",07102
INSP-32684,PIH,OH002000900,The Village at Arlington I,516 Griffith St. Office/Community,"Youngstown, OH",44510
INSP-31987,PIH,OH002001000,The Village at Arlington II,940 Martin Luther King 1201,"Youngstown, OH",44510
INSP-32685,PIH,OH002001100,Boardman Homes,321 Mathews Road,"BOARDMAN, OH",44512
INSP-33633,PIH,OH004000210,FINDLATER GARDENS,595  STRAND Lane,"Cincinnati, OH",45232
INSP-33635,PIH,OH004000213,PARK EDEN,2610  PARK Avenue,"Cincinnati, OH",45238
INSP-31999,PIH,OH031000001,EAST SIDE DEVELOPMENTS,2832  STATE ROUTE 59,"RAVENNA, OH",44266
INSP-32015,PIH,TX009000001,"ROSELAND TOWNHOMES, PHASE I",3535 N. Washington Rd,"Dallas, TX",75204
INSP-33672,PIH,TX019000003,Mabe Terrace/Mundo Nuevo/Thompson Additi,1431  980 Comal St Avenue,"Eagle Pass, TX",78852
INSP-33676,PIH,TX104000001,UNNAMED,"Address Line 1, POBox 73","WOLFE CITY, TX",75496
INSP-33677,PIH,TX158000001,BRICKHAVEN,"731 N 1st., POBox 417","MERKEL, TX",79536
INSP-33678,PIH,TX170000010,UNNAMED,109 Dill St.,"RISING STAR, TX",76471
INSP-33679,PIH,TX209000001,UNNAMED,347 Martin  Plaza,"MALAKOFF, TX",75148
